customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00015,Female,0,Yes,No,51,Yes,Yes,DSL,No internet service,No,Yes,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),81.19,4426.4,No
CUST-00016,Male,0,No,No,58,Yes,Yes,Fiber optic,No,Yes,No,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),91.36,5126.46,No
CUST-00017,Female,0,No,Yes,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),108.68,6017.41,Yes
CUST-00018,Female,0,No,No,18,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,97.35,1734.66,No
CUST-00019,Female,1,No,No,67,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,47.82,2887.02,Yes
CUST-00020,Male,0,Yes,Yes,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,102.31,1825.56,No
CUST-00021,Female,1,No,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),24.27,743.1,No
CUST-00022,Male,0,No,Yes,30,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),91.64,2587.73,No
CUST-00023,Female,0,Yes,No,19,No,No phone service,Fiber optic,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,66.33,1172.14,No
CUST-00024,Female,1,No,Yes,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,61.96,599.28,No
CUST-00025,Female,0,No,No,40,Yes,No,DSL,Yes,Yes,No internet service,No,No,No,Two year,No,Credit card (automatic),88.05,3873.86,Yes
CUST-00026,Female,0,No,No,44,Yes,No,DSL,No,No internet service,No,No,No,Yes,Month-to-month,Yes,Electronic check,24.06,983.74,Yes
CUST-00027,Female,0,No,Yes,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,105.3,6298.0,Yes
CUST-00028,Female,0,No,No,25,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,43.9,1169.07,Yes
CUST-00029,Female,0,No,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),99.42,6850.42,No
CUST-00030,Female,0,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,50.27,2533.7,No
CUST-00031,Male,0,Yes,No,48,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),91.4,4204.07,No
CUST-00032,Male,0,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Electronic check,109.93,7528.61,No
CUST-00033,Female,0,No,No,53,Yes,Yes,Fiber optic,No,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,87.13,4392.92,No
CUST-00034,Female,0,Yes,Yes,49,Yes,No,DSL,No internet service,Yes,No internet service,No,Yes,No,One year,Yes,Bank transfer (automatic),41.48,1856.43,No
CUST-00035,Female,0,No,No,43,No,No phone service,DSL,No internet service,Yes,No internet service,No internet service,Yes,Yes,Two year,Yes,Electronic check,87.99,4100.76,No
CUST-00036,Male,0,Yes,No,19,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,88.0,1805.77,Yes
CUST-00037,Female,1,No,No,66,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),110.44,7802.67,No
CUST-00038,Male,0,Yes,No,34,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),43.63,1562.62,Yes
CUST-00039,Male,1,No,No,54,Yes,No,DSL,Yes,Yes,No internet service,No internet service,No,No internet service,Month-to-month,No,Electronic check,114.94,6514.9,Yes
CUST-00040,Male,0,Yes,No,1,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,86.52,90.08,Yes
CUST-00041,Male,0,Yes,No,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,49.83,2933.72,No
CUST-00042,Male,0,No,Yes,15,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Mailed check,68.98,942.52,Yes
CUST-00043,Female,0,No,No,15,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,94.18,1488.91,No
CUST-00044,Female,0,Yes,Yes,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,22.74,561.55,No
CUST-00045,Female,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No internet service,Yes,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),51.62,3508.29,No
CUST-00046,Female,0,No,No,46,No,No phone service,DSL,Yes,No,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),106.69,5249.99,Yes
CUST-00047,Female,1,Yes,No,9,Yes,No phone service,DSL,No,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),28.69,247.75,No
CUST-00048,Male,0,No,No,66,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,70.8,4543.37,No
CUST-00049,Female,0,Yes,No,66,Yes,No,DSL,No internet service,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),75.56,5096.83,No
CUST-00050,Female,0,Yes,No,18,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),46.7,780.35,No
CUST-00051,Male,0,No,No,17,Yes,Yes,DSL,No internet service,No,No,Yes,Yes,No internet service,One year,No,Electronic check,58.43,931.97,No
CUST-00052,Female,0,No,Yes,72,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No,Yes,Month-to-month,Yes,Mailed check,109.02,8624.89,No
CUST-00053,Male,0,No,No,34,Yes,Yes,Fiber optic,No,No,Yes,No,No,No internet service,Month-to-month,No,Credit card (automatic),24.04,864.35,No
CUST-00054,Female,1,Yes,No,69,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No internet service,One year,No,Electronic check,34.14,2173.26,Yes
CUST-00055,Male,0,Yes,No,64,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Mailed check,108.12,6389.2,No
CUST-00056,Female,0,Yes,No,44,Yes,Yes,DSL,Yes,No internet service,No,No internet service,No internet service,Yes,Two year,Yes,Electronic check,35.93,1546.94,Yes
CUST-00057,Female,0,No,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),35.43,1129.77,Yes
CUST-00058,Male,0,Yes,No,62,Yes,No,Fiber optic,No,No,Yes,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),76.45,5190.25,Yes
CUST-00059,Male,0,Yes,No,16,Yes,No,DSL,No,No internet service,Yes,No internet service,No internet service,No,Two year,Yes,Electronic check,116.44,1852.86,No
CUST-00060,Male,0,No,No,52,Yes,No,DSL,Yes,No internet service,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,62.7,3222.54,No
CUST-00061,Male,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,70.24,142.99,No
CUST-00062,Male,0,Yes,Yes,61,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,100.64,6337.82,Yes
CUST-00063,Male,0,No,Yes,4,Yes,No,Fiber optic,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),87.64,334.07,Yes
CUST-00064,Male,0,No,Yes,52,Yes,No phone service,DSL,No internet service,No,No,No,Yes,No internet service,Month-to-month,No,Electronic check,117.6,5712.57,No
CUST-00065,Male,0,No,No,41,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),79.27,3455.97,No
CUST-00066,Female,0,No,No,52,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),59.97,3027.44,No
CUST-00067,Female,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,51.36,1445.41,No
CUST-00068,Male,1,No,Yes,26,Yes,Yes,Fiber optic,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Electronic check,116.75,3252.65,No
CUST-00069,Female,1,No,No,27,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),98.84,2793.86,Yes
CUST-00070,Female,0,No,No,51,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),99.97,5324.06,Yes
CUST-00071,Female,0,No,No,48,Yes,Yes,DSL,No,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,37.44,1851.62,No
CUST-00072,Female,0,Yes,No,11,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,No,One year,Yes,Mailed check,64.04,692.32,No
CUST-00073,Male,0,No,No,8,Yes,No,DSL,No internet service,Yes,No,No,Yes,No,One year,No,Electronic check,20.27,174.75,Yes
CUST-00074,Female,1,No,Yes,12,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),71.44,834.19,No
CUST-00075,Male,0,Yes,Yes,45,Yes,No phone service,Fiber optic,No internet service,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,25.38,1089.07,No
CUST-00076,Female,1,No,Yes,34,Yes,No,DSL,No,No,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),37.7,1291.97,Yes
CUST-00077,Female,1,Yes,No,72,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,Yes,Two year,Yes,Electronic check,46.2,3302.15,No
CUST-00078,Female,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Mailed check,99.72,4249.74,Yes
CUST-00079,Male,0,No,No,21,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,28.25,567.97,No
CUST-00080,Female,0,Yes,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,108.74,4352.54,No
CUST-00081,Male,1,No,No,22,Yes,No,Fiber optic,No,Yes,No internet service,No,Yes,No,Two year,Yes,Bank transfer (automatic),74.63,1737.7,No
CUST-00082,Female,0,No,No,21,Yes,Yes,Fiber optic,No,No,No,No internet service,No,No,Month-to-month,Yes,Electronic check,28.87,593.84,Yes
CUST-00083,Male,1,Yes,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,116.69,3554.63,Yes
CUST-00084,Female,0,Yes,No,67,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,18.21,1278.79,Yes
CUST-00085,Male,0,Yes,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),34.29,2589.98,No
CUST-00086,Male,1,No,Yes,14,No,No phone service,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,36.39,549.26,No
CUST-00087,Female,0,No,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),104.82,5118.98,Yes
CUST-00088,Male,0,Yes,No,43,Yes,No,Fiber optic,No internet service,Yes,No,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),52.78,2406.82,Yes
CUST-00089,Female,0,No,No,71,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),101.49,6763.63,Yes
CUST-00090,Female,0,No,No,19,Yes,No,DSL,Yes,No,No,No internet service,No internet service,No,Month-to-month,No,Electronic check,22.21,426.16,No
CUST-00091,Female,0,Yes,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,113.86,2954.98,No
CUST-00092,Female,0,Yes,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),103.37,1859.79,Yes
CUST-00093,Female,1,Yes,Yes,13,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,65.59,803.37,No
CUST-00094,Female,1,Yes,Yes,1,Yes,No,Fiber optic,No,No,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,33.29,36.36,Yes
CUST-00095,Female,0,Yes,Yes,34,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,40.37,1418.15,Yes
CUST-00096,Female,0,Yes,No,13,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,No,Two year,Yes,Electronic check,40.78,503.71,No
CUST-00097,Female,0,Yes,No,51,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),88.28,4265.1,No
CUST-00098,Female,0,Yes,No,1,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,55.49,51.69,Yes
CUST-00099,Female,1,Yes,No,28,Yes,No phone service,DSL,No,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,18.31,541.1,Yes
CUST-00100,Male,0,Yes,No,32,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,56.41,1797.76,No
CUST-00101,Male,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),75.19,5840.66,No
CUST-00102,Female,0,No,No,55,Yes,No,DSL,No internet service,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.38,1157.6,Yes
CUST-00103,Female,0,Yes,Yes,26,Yes,Yes,DSL,No,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),73.12,1899.86,Yes
CUST-00104,Female,0,No,No,14,Yes,No,DSL,No,Yes,No,Yes,No internet service,Yes,Two year,No,Bank transfer (automatic),95.69,1336.2,No
CUST-00105,Female,0,No,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),74.42,5549.03,No
CUST-00106,Female,0,No,Yes,63,Yes,No,DSL,No internet service,No,No,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),51.14,3366.83,Yes
CUST-00107,Female,0,No,No,14,Yes,No phone service,DSL,No internet service,No internet service,No,No,No,No,Month-to-month,Yes,Electronic check,54.11,763.47,No
CUST-00108,Female,0,No,No,27,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,No,Electronic check,61.04,1674.85,Yes
CUST-00109,Female,0,No,Yes,41,Yes,No,Fiber optic,No internet service,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),102.75,4380.52,Yes
CUST-00110,Male,0,Yes,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.17,68.83,Yes
CUST-00111,Female,0,Yes,Yes,59,Yes,No phone service,Fiber optic,No,No,No,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),53.44,2877.89,Yes
CUST-00112,Male,0,No,No,23,Yes,Yes,DSL,No,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),113.94,2392.21,No
CUST-00113,Female,0,No,No,18,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,101.12,1712.96,Yes
CUST-00114,Female,0,Yes,No,41,No,No phone service,DSL,Yes,No,No internet service,Yes,Yes,Yes,Two year,No,Mailed check,31.48,1275.65,No
CUST-00115,Male,0,No,No,8,Yes,No,DSL,No,No,No internet service,No internet service,No,No,Month-to-month,Yes,Electronic check,53.49,415.03,Yes
CUST-00116,Female,1,No,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.8,576.83,No
CUST-00117,Male,1,No,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,90.96,3802.75,Yes
CUST-00118,Female,0,No,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.36,1363.79,No
CUST-00119,Female,1,No,No,9,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No internet service,Month-to-month,No,Electronic check,56.59,464.08,Yes
CUST-00120,Male,0,Yes,No,48,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,108.3,5222.42,No
CUST-00121,Female,0,Yes,No,24,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),31.67,833.29,Yes
CUST-00122,Male,0,No,No,44,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),50.57,2024.95,No
CUST-00123,Female,0,Yes,No,58,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,99.56,5537.04,No
CUST-00124,Male,0,No,Yes,66,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),81.23,5299.01,Yes
CUST-00125,Male,0,No,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),93.91,1579.97,No
CUST-00126,Female,0,No,No,29,Yes,No,Fiber optic,Yes,No,No,No,Yes,No internet service,One year,No,Bank transfer (automatic),113.9,3336.93,No
CUST-00127,Female,0,No,Yes,2,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,No,Mailed check,109.34,234.08,No
CUST-00128,Male,0,No,No,68,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,No,Yes,One year,Yes,Credit card (automatic),46.66,3087.89,No
CUST-00129,Female,1,No,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,47.89,1684.22,No
CUST-00130,Female,0,No,Yes,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,26.64,1117.08,No
CUST-00131,Female,0,No,Yes,71,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,55.54,4244.82,No
CUST-00132,Male,0,No,Yes,22,Yes,Yes,DSL,No,No,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,95.44,2222.91,No
CUST-00133,Male,0,Yes,Yes,49,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,43.84,2212.91,Yes
CUST-00134,Male,0,No,No,28,Yes,No,Fiber optic,No,No internet service,No,No,No,Yes,Month-to-month,Yes,Mailed check,100.8,2977.92,No
CUST-00135,Male,0,Yes,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),75.32,1162.34,No
CUST-00136,Male,0,Yes,No,68,Yes,No phone service,DSL,No,No,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,54.02,3662.92,No
CUST-00137,Male,0,No,No,62,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No,No,Two year,Yes,Credit card (automatic),59.82,3623.32,Yes
CUST-00138,Male,0,Yes,No,36,Yes,Yes,DSL,No,Yes,No internet service,No,No,No,Month-to-month,No,Electronic check,95.1,3108.61,Yes
CUST-00139,Male,0,No,No,22,Yes,No,Fiber optic,No internet service,No,No,No,No internet service,No,One year,Yes,Electronic check,49.62,1036.05,Yes
CUST-00140,Male,0,No,No,11,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),89.66,985.64,No
CUST-00141,Female,0,No,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),59.7,2580.37,No
CUST-00142,Male,0,No,Yes,55,No,No phone service,DSL,No,Yes,No internet service,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),99.58,4950.32,No
CUST-00143,Female,0,Yes,Yes,35,Yes,No,Fiber optic,No,No,Yes,No internet service,No,No internet service,Month-to-month,No,Mailed check,39.17,1487.98,No
CUST-00144,Female,1,Yes,Yes,57,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),48.87,2839.83,Yes
CUST-00145,Female,1,No,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),67.75,2457.57,No
CUST-00146,Male,1,Yes,No,70,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),92.89,6092.03,Yes
CUST-00147,Male,0,Yes,Yes,4,Yes,Yes,DSL,No,Yes,No,No,No internet service,Yes,Two year,Yes,Credit card (automatic),33.76,138.48,Yes
CUST-00148,Male,0,Yes,No,46,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,108.33,4565.64,No
CUST-00149,Male,0,No,No,11,Yes,No,Fiber optic,No,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),19.78,215.52,Yes
CUST-00150,Female,0,Yes,No,61,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No internet service,No,One year,Yes,Bank transfer (automatic),20.64,1308.72,Yes
CUST-00151,Male,0,Yes,No,35,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),62.9,2272.49,Yes
CUST-00152,Male,0,Yes,Yes,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),100.87,6589.17,No
CUST-00153,Male,1,No,No,57,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,31.17,1638.48,Yes
CUST-00154,Male,0,Yes,Yes,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,66.54,710.78,No
CUST-00155,Male,1,Yes,No,12,Yes,Yes,DSL,No,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),60.89,746.82,Yes
CUST-00156,Female,0,No,No,43,Yes,Yes,DSL,No internet service,No,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,92.48,3650.25,No
CUST-00157,Male,0,Yes,No,19,Yes,Yes,DSL,No internet service,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),39.38,798.67,No
CUST-00158,Female,0,No,No,68,Yes,Yes,Fiber optic,No,No,No internet service,No,Yes,No,One year,Yes,Credit card (automatic),77.4,5267.29,No
CUST-00159,Male,0,No,No,59,Yes,Yes,DSL,Yes,No internet service,No,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,109.96,6951.81,No
CUST-00160,Female,0,No,Yes,2,Yes,No,Fiber optic,No,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.52,48.44,No
CUST-00161,Male,0,No,Yes,8,Yes,No,Fiber optic,Yes,No,No internet service,No,No internet service,Yes,One year,Yes,Electronic check,106.45,932.35,Yes
CUST-00162,Male,0,No,No,22,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,Yes,No,Two year,Yes,Bank transfer (automatic),38.89,854.13,No
CUST-00163,Female,0,No,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),26.25,576.13,Yes
CUST-00164,Female,1,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,49.92,1444.81,No
CUST-00165,Female,0,No,Yes,37,Yes,No,Fiber optic,Yes,No,No internet service,Yes,Yes,Yes,One year,Yes,Credit card (automatic),69.02,2384.83,No
CUST-00166,Male,1,Yes,No,29,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,53.71,1429.74,No
CUST-00167,Female,0,Yes,No,37,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,31.26,1095.52,No
